Time_PnL	PnL
09:00:00.553	0.0
09:07:41.785	-100.0
09:08:01.628	-160.0
09:09:05.195	-100.0
09:09:05.381	-98.0
09:09:14.150	-69.0
09:09:14.305	-68.0
09:09:14.332	-65.54
09:09:15.194	-65.32
09:09:15.194	-63.99
09:09:16.403	-63.33
09:10:01.077	-62.88
09:10:02.147	-60.38
09:10:05.009	-60.0
09:10:05.009	-40.0
09:10:05.075	-38.43
09:10:05.075	-35.93
09:10:20.241	-32.76
09:10:54.177	-32.31
09:10:54.177	-30.0
09:10:58.178	-27.82
09:10:58.180	-26.82
09:10:59.160	-26.12
09:10:59.160	-24.63
09:10:59.259	-20.0
09:11:01.645	-40.0
09:11:04.808	-70.0
09:11:17.558	-40.0
09:11:22.586	-70.0
09:13:04.136	-68.65
09:13:04.136	-68.44
09:13:04.157	-63.07
09:13:04.157	-60.04
09:13:04.166	-58.45
09:13:04.191	-53.74
09:13:04.192	-51.37
09:13:04.192	-51.34
09:13:04.198	-48.13
09:13:04.198	-2.71
09:13:04.292	-0.21
09:13:05.261	0.0
09:13:40.162	2.4
09:13:57.518	5.11
09:13:57.518	7.61
09:13:57.518	8.19
09:15:29.620	8.87
09:16:29.074	10.0
09:16:29.074	20.0
09:16:30.284	20.45
09:16:30.284	20.79
09:16:30.284	22.91
09:16:30.284	25.45
09:16:30.311	27.95
09:16:30.486	29.7
09:16:31.214	30.0
09:17:53.152	38.11
09:18:34.166	39.22
09:18:46.918	40.0
09:20:04.007	42.45
09:20:21.213	44.79
09:22:05.239	39.58
09:22:05.260	43.0
09:23:04.376	44.79
09:23:05.940	40.0
09:23:07.001	42.88
09:23:07.001	43.4
09:23:07.002	43.72
09:23:07.002	43.77
09:23:12.212	44.79
09:23:37.520	29.58
09:23:49.218	32.04
09:23:49.218	34.36
09:23:49.218	34.96
09:23:49.218	35.45
09:23:49.218	39.45
09:23:49.218	39.58
09:23:49.218	42.62
09:23:49.239	46.31
09:23:49.582	48.81
09:23:49.582	50.0
09:24:01.187	50.3
09:24:30.206	10.45
09:24:40.954	-39.4
09:24:46.050	15.34
09:24:46.050	19.34
09:24:46.051	21.48
09:24:46.051	23.98
09:24:47.821	24.03
09:24:47.821	25.34
09:24:47.821	25.38
09:24:47.821	26.16
09:24:54.085	27.88
09:24:54.085	30.02
09:24:54.085	30.1
09:25:11.449	31.1
09:25:11.449	31.88
09:25:29.920	32.95
09:25:29.920	33.66
09:25:29.920	35.34
09:25:29.920	70.08
09:25:30.533	72.16
09:26:39.469	-35.24
09:26:40.950	-31.67
09:26:40.950	-31.56
09:26:41.829	-27.09
09:26:41.829	-25.33
09:26:41.829	-25.24
09:26:41.829	18.46
09:27:10.357	23.12
09:27:10.357	25.38
09:27:26.534	65.62
09:27:42.532	67.14
09:27:42.532	67.53
09:27:42.560	68.1
09:27:42.571	70.6
09:27:42.571	71.29
09:27:42.571	72.16
09:27:42.571	105.86
09:28:31.595	106.86
09:29:54.039	110.86
09:29:54.039	113.36
09:29:55.058	114.67
09:29:55.058	115.01
09:29:55.058	116.44
09:29:55.320	117.28
09:29:56.188	117.34
09:30:23.228	117.78
09:30:23.228	32.9
09:31:59.888	38.01
09:31:59.888	39.88
09:31:59.888	-29.32
09:32:01.663	-126.65
09:32:09.452	-127.65
09:32:09.452	-127.75
09:32:09.452	-128.75
09:32:09.452	-131.0
09:32:09.452	-131.69
09:32:09.452	-133.12
